"productkey","storekey","risk_profile","total_cash_frozen","total_lost_revenue","total_estimated_impact","impact_bucket","recommended_action"
396,999999,mixed_or_stable,24101.28,159146.985,183248.265,1,No action – monitor only
1655,999999,mixed_or_stable,29016.160,153443.85865,182460.01865,1,No action – monitor only
611,999999,mixed_or_stable,26993.49,155440.35,182433.84,1,No action – monitor only
2087,999999,mixed_or_stable,43740.9375,136880.1770,180621.1145,1,No action – monitor only
1417,999999,mixed_or_stable,39855.816,140597.088,180452.904,1,No action – monitor only
1606,999999,mixed_or_stable,30833.187,147944.19291,178777.37991,1,No action – monitor only
1657,999999,mixed_or_stable,33149.385,144090.81451,177240.19951,1,No action – monitor only
1649,999999,mixed_or_stable,29597.704,146248.01486,175845.71886,1,No action – monitor only
1429,999999,mixed_or_stable,35936.16,139355.222,175291.382,1,No action – monitor only
1476,999999,mixed_or_stable,24580.864,149702.976,174283.840,1,No action – monitor only
588,999999,mixed_or_stable,32290.830,141943.20,174234.030,1,No action – monitor only
1421,999999,mixed_or_stable,28859.104,145258.68,174117.784,1,No action – monitor only
1646,999999,mixed_or_stable,32444.370,140900.63316,173345.00316,1,No action – monitor only
1611,999999,mixed_or_stable,39374.664,133817.55588,173192.21988,1,No action – monitor only
1625,999999,mixed_or_stable,26876.224,143656.335,170532.559,1,No action – monitor only
1540,999999,mixed_or_stable,18557.66,151731.72,170289.38,1,No action – monitor only
1567,999999,mixed_or_stable,23894.352,145550.574,169444.926,1,No action – monitor only
1459,999999,mixed_or_stable,33812.056,135300.096,169112.152,1,No action – monitor only
1438,999999,mixed_or_stable,24751.616,144348.66,169100.276,1,No action – monitor only
1626,999999,mixed_or_stable,23465.904,144524.013,167989.917,1,No action – monitor only
1460,999999,mixed_or_stable,23646.344,143726.4,167372.744,1,No action – monitor only
1601,999999,mixed_or_stable,30178.414,137020.71567,167199.12967,1,No action – monitor only
1557,999999,mixed_or_stable,27285.984,136765.18,164051.164,1,No action – monitor only
1416,999999,mixed_or_stable,31359.096,130415.824,161774.920,1,No action – monitor only
1419,999999,mixed_or_stable,22282.47,139403.076,161685.546,1,No action – monitor only
1498,999999,mixed_or_stable,30765.080,130200.6,160965.680,1,No action – monitor only
1467,999999,mixed_or_stable,27905.472,132527.892,160433.364,1,No action – monitor only
1554,999999,mixed_or_stable,27079.104,132307.828,159386.932,1,No action – monitor only
1963,999999,systematic_overforecast,23324.840,135999.5750,159324.4150,1,Reduce safety buffers and tighten replenishment thresholds
165,999999,mixed_or_stable,27364.978,131809.312360,159174.290360,1,No action – monitor only
1434,999999,mixed_or_stable,23637.432,133904.056,157541.488,1,No action – monitor only
338,999999,mixed_or_stable,31978.625,125337.465,157316.090,1,No action – monitor only
1569,999999,mixed_or_stable,31652.5,124348.120,156000.620,1,No action – monitor only
1432,999999,mixed_or_stable,32089.496,122067.6,154157.096,1,No action – monitor only
1412,999999,mixed_or_stable,32082.06,121336.650,153418.710,1,No action – monitor only
1581,999999,mixed_or_stable,20200.704,132860.730,153061.434,1,No action – monitor only
1420,999999,mixed_or_stable,26263.370,126454.550,152717.920,1,No action – monitor only
539,999999,mixed_or_stable,36878.43,115771.275,152649.705,1,No action – monitor only
2112,999999,mixed_or_stable,37702.6875,112348.894,150051.5815,1,No action – monitor only
402,999999,mixed_or_stable,28620.27,121118.760,149739.030,1,No action – monitor only
159,999999,mixed_or_stable,31362.7000,117925.527940,149288.227940,1,No action – monitor only
2115,999999,mixed_or_stable,29764.3728,119276.73225,149041.10505,1,No action – monitor only
551,999999,mixed_or_stable,29654.82,119305.575,148960.395,1,No action – monitor only
1533,999999,mixed_or_stable,29507.5,119388.308,148895.808,1,No action – monitor only
2088,999999,mixed_or_stable,26056.9839,119067.1736,145124.1575,1,No action – monitor only
1431,999999,mixed_or_stable,29456.046,115609.600,145065.646,1,No action – monitor only
1624,999999,mixed_or_stable,27485.728,116409.012,143894.740,1,No action – monitor only
407,999999,mixed_or_stable,23000.91,118982.365,141983.275,1,No action – monitor only
1433,999999,mixed_or_stable,31245.784,110450.648,141696.432,1,No action – monitor only
1478,999999,mixed_or_stable,29219.928,112387.8,141607.728,1,No action – monitor only
1451,999999,mixed_or_stable,28986.048,110128.168,139114.216,1,No action – monitor only
1446,999999,mixed_or_stable,23895.42,114912.180,138807.600,1,No action – monitor only
1647,999999,mixed_or_stable,28679.805,109058.64085,137738.44585,1,No action – monitor only
1489,999999,mixed_or_stable,23579.424,112875.96,136455.384,1,No action – monitor only
340,999999,mixed_or_stable,27870.620,107878.680,135749.300,1,No action – monitor only
457,999999,mixed_or_stable,27418.23,108254.99100,135673.22100,1,No action – monitor only
149,999999,mixed_or_stable,20179.64,115303.50585,135483.14585,1,No action – monitor only
1499,999999,mixed_or_stable,24463.296,110168.42,134631.716,1,No action – monitor only
634,999999,mixed_or_stable,19871.28,114291.765,134163.045,1,No action – monitor only
1553,999999,mixed_or_stable,29799.432,104268.080,134067.512,1,No action – monitor only
1482,999999,mixed_or_stable,20772.990,112870.618,133643.608,1,No action – monitor only
1466,999999,mixed_or_stable,22457.824,110424.46,132882.284,1,No action – monitor only
404,999999,mixed_or_stable,20443.05,111330.795,131773.845,1,No action – monitor only
1469,999999,mixed_or_stable,20435.734,110942.0,131377.734,1,No action – monitor only
1578,999999,mixed_or_stable,25787.824,105224.463,131012.287,1,No action – monitor only
517,999999,mixed_or_stable,19130.175,110978.595,130108.770,1,No action – monitor only
623,999999,mixed_or_stable,24425.115,104658.120,129083.235,1,No action – monitor only
397,999999,mixed_or_stable,29733.20,98838.60,128571.80,1,No action – monitor only
2102,999999,mixed_or_stable,33465.000,94815.1134,128280.1134,1,No action – monitor only
1441,999999,mixed_or_stable,23010.894,105108.4,128119.294,1,No action – monitor only
1513,999999,mixed_or_stable,18183.90,108641.030,126824.930,1,No action – monitor only
1538,999999,mixed_or_stable,15373.944,111436.08,126810.024,1,No action – monitor only
1536,999999,mixed_or_stable,17623.344,108958.336,126581.680,1,No action – monitor only
2113,999999,mixed_or_stable,20742.5091,105017.8240,125760.3331,1,No action – monitor only
1447,999999,mixed_or_stable,28132.5,96913.674,125046.174,1,No action – monitor only
563,999999,mixed_or_stable,21670.83,103229.10,124899.93,1,No action – monitor only
2108,999999,mixed_or_stable,26629.3518,98149.3084,124778.6602,1,No action – monitor only
1562,999999,mixed_or_stable,21452.20,103153.960,124606.160,1,No action – monitor only
1464,999999,mixed_or_stable,20478.99,102774.816,123253.806,1,No action – monitor only
1418,999999,mixed_or_stable,26678.520,96504.238,123182.758,1,No action – monitor only
1449,999999,mixed_or_stable,25412.232,97399.2,122811.432,1,No action – monitor only
1496,999999,mixed_or_stable,18515.112,103719.168,122234.280,1,No action – monitor only
552,999999,mixed_or_stable,21527.220,100247.385,121774.605,1,No action – monitor only
1455,999999,mixed_or_stable,29365.872,91925.94,121291.812,1,No action – monitor only
1542,999999,mixed_or_stable,20001.968,99941.82,119943.788,1,No action – monitor only
1473,999999,mixed_or_stable,22290.74,96697.968,118988.708,1,No action – monitor only
462,999999,mixed_or_stable,12668.48,105831.165,118499.645,1,No action – monitor only
492,999999,mixed_or_stable,26433.975,91807.590,118241.565,1,No action – monitor only
1440,999999,mixed_or_stable,17781.786,100265.256,118047.042,1,No action – monitor only
1653,999999,mixed_or_stable,22914.288,94327.64398,117241.93198,1,No action – monitor only
1561,999999,mixed_or_stable,11321.150,105529.824,116850.974,1,No action – monitor only
489,999999,mixed_or_stable,20486.925,95904.900,116391.825,1,No action – monitor only
1525,999999,mixed_or_stable,18593.324,97306.512,115899.836,1,No action – monitor only
520,999999,systematic_overforecast,12148.380,103530.525,115678.905,1,Reduce safety buffers and tighten replenishment thresholds
1570,999999,mixed_or_stable,19727.752,95511.244,115238.996,1,No action – monitor only
1530,999999,mixed_or_stable,19375.488,95656.260,115031.748,1,No action – monitor only
599,999999,mixed_or_stable,19389.69,95494.950,114884.640,1,No action – monitor only
476,999999,mixed_or_stable,13388.28,101368.850,114757.130,1,No action – monitor only
1521,999999,mixed_or_stable,21412.512,91512.62,112925.132,1,No action – monitor only
464,999999,mixed_or_stable,16985.235,95857.825,112843.060,1,No action – monitor only
1494,999999,mixed_or_stable,22076.02,90601.056,112677.076,1,No action – monitor only
612,999999,mixed_or_stable,17801.355,94799.565,112600.920,1,No action – monitor only
1556,999999,mixed_or_stable,21889.200,90556.48,112445.680,1,No action – monitor only
1445,999999,mixed_or_stable,25091.664,87121.976,112213.640,1,No action – monitor only
2107,999999,mixed_or_stable,25586.175,86375.618,111961.793,1,No action – monitor only
1503,999999,mixed_or_stable,20410.50,91236.730,111647.230,1,No action – monitor only
348,999999,mixed_or_stable,23006.28,87909.05,110915.33,1,No action – monitor only
1453,999999,mixed_or_stable,21997.71,87956.844,109954.554,1,No action – monitor only
1456,999999,mixed_or_stable,24029.712,85139.054,109168.766,1,No action – monitor only
622,999999,mixed_or_stable,23191.59,85787.100,108978.690,1,No action – monitor only
1450,999999,mixed_or_stable,26260.056,82335.176,108595.232,1,No action – monitor only
1603,999999,mixed_or_stable,21837.552,84689.11029,106526.66229,1,No action – monitor only
1523,999999,mixed_or_stable,16362.5,89729.302,106091.802,1,No action – monitor only
1537,999999,mixed_or_stable,14217.038,91693.088,105910.126,1,No action – monitor only
386,999999,mixed_or_stable,20658.24,85227.39,105885.63,1,No action – monitor only
1506,999999,mixed_or_stable,22912.120,82854.720,105766.840,1,No action – monitor only
477,999999,mixed_or_stable,15894.475,89123.620,105018.095,1,No action – monitor only
1462,999999,mixed_or_stable,27827.592,77156.128,104983.720,1,No action – monitor only
540,999999,mixed_or_stable,25667.070,78918.420,104585.490,1,No action – monitor only
1493,999999,mixed_or_stable,14151.28,90380.772,104532.052,1,No action – monitor only
1465,999999,mixed_or_stable,22749.386,81665.222,104414.608,1,No action – monitor only
478,999999,mixed_or_stable,13385.715,90840.015,104225.730,1,No action – monitor only
1969,999999,mixed_or_stable,18787.0984,85279.73350,104066.83190,1,No action – monitor only
1552,999999,mixed_or_stable,16510.124,87267.868,103777.992,1,No action – monitor only
529,999999,mixed_or_stable,14108.08,89333.200,103441.280,1,No action – monitor only
1545,999999,mixed_or_stable,19619.808,83256.880,102876.688,1,No action – monitor only
1565,999999,mixed_or_stable,21390.048,81391.92,102781.968,1,No action – monitor only
1539,999999,mixed_or_stable,18988.992,83769.44,102758.432,1,No action – monitor only
391,999999,mixed_or_stable,21215.04,81475.440,102690.480,1,No action – monitor only
1448,999999,mixed_or_stable,18954.530,83380.736,102335.266,1,No action – monitor only
490,999999,systematic_underforecast,10509.08,91740.330,102249.410,1,Prioritize earlier replenishment and protect high-margin SKUs
1529,999999,mixed_or_stable,20029.716,82198.74,102228.456,1,No action – monitor only
1436,999999,mixed_or_stable,18556.86,82827.288,101384.148,1,No action – monitor only
1437,999999,mixed_or_stable,21376.736,79918.798,101295.534,1,No action – monitor only
600,999999,mixed_or_stable,18629.325,82591.950,101221.275,1,No action – monitor only
1602,999999,mixed_or_stable,20220.711,80712.91570,100933.62670,1,No action – monitor only
1656,999999,mixed_or_stable,21600.152,78986.10306,100586.25506,1,No action – monitor only
143,999999,mixed_or_stable,22428.651,76926.135710,99354.786710,1,No action – monitor only
1613,999999,mixed_or_stable,18186.744,80990.36657,99177.11057,1,No action – monitor only
156,999999,mixed_or_stable,20055.936,78917.362400,98973.298400,1,No action – monitor only
1648,999999,mixed_or_stable,19942.048,78512.84182,98454.88982,1,No action – monitor only
1414,999999,mixed_or_stable,22227.424,75950.592,98178.016,1,No action – monitor only
1444,999999,mixed_or_stable,21175.154,76828.28,98003.434,1,No action – monitor only
394,999999,mixed_or_stable,20566.22,77376.64,97942.86,1,No action – monitor only
1522,999999,mixed_or_stable,13118.78,83660.04,96778.82,1,No action – monitor only
1551,999999,mixed_or_stable,22990.0,73708.284,96698.284,1,No action – monitor only
363,999999,mixed_or_stable,21375.76,75187.935,96563.695,1,No action – monitor only
1427,999999,mixed_or_stable,14384.720,81296.26,95680.980,1,No action – monitor only
1507,999999,mixed_or_stable,15887.732,78556.206,94443.938,1,No action – monitor only
2093,999999,mixed_or_stable,17743.4049,76460.6040,94204.0089,1,No action – monitor only
1548,999999,mixed_or_stable,17222.656,76160.588,93383.244,1,No action – monitor only
1516,999999,mixed_or_stable,16025.240,76048.704,92073.944,1,No action – monitor only
1566,999999,mixed_or_stable,16953.552,74933.796,91887.348,1,No action – monitor only
1541,999999,mixed_or_stable,16362.5,74653.124,91015.624,1,No action – monitor only
362,999999,mixed_or_stable,17860.77,73120.710,90981.480,1,No action – monitor only
1531,999999,mixed_or_stable,16187.328,74407.142,90594.470,1,No action – monitor only
1479,999999,mixed_or_stable,17078.688,73091.18,90169.868,1,No action – monitor only
1491,999999,mixed_or_stable,20703.946,69379.672,90083.618,1,No action – monitor only
625,999999,mixed_or_stable,17227.5,72847.08,90074.58,1,No action – monitor only
1487,999999,mixed_or_stable,17852.212,72128.448,89980.660,1,No action – monitor only
405,999999,mixed_or_stable,19929.28,70043.295,89972.575,1,No action – monitor only
384,999999,mixed_or_stable,17254.71,72658.09,89912.80,1,No action – monitor only
378,999999,mixed_or_stable,15337.52,74325.69,89663.21,1,No action – monitor only
339,999999,mixed_or_stable,18815.295,70620.774,89436.069,1,No action – monitor only
1534,999999,mixed_or_stable,14611.196,74395.752,89006.948,1,No action – monitor only
1495,999999,mixed_or_stable,15738.576,73232.00,88970.576,1,No action – monitor only
1527,999999,mixed_or_stable,19274.736,69564.224,88838.960,1,No action – monitor only
387,999999,mixed_or_stable,20732.88,67806.495,88539.375,1,No action – monitor only
345,999999,mixed_or_stable,15268.40,73108.410,88376.810,1,No action – monitor only
1547,999999,mixed_or_stable,13720.590,74371.77,88092.360,1,No action – monitor only
2092,999999,mixed_or_stable,15648.525,72276.3594,87924.8844,1,No action – monitor only
1485,999999,mixed_or_stable,15505.882,72172.62,87678.502,1,No action – monitor only
1454,999999,mixed_or_stable,15300.472,71930.938,87231.410,1,No action – monitor only
138,999999,mixed_or_stable,14060.2195,73082.538320,87142.757820,1,No action – monitor only
1528,999999,mixed_or_stable,12467.476,74670.708,87138.184,1,No action – monitor only
1535,999999,mixed_or_stable,15232.464,71397.880,86630.344,1,No action – monitor only
1544,999999,mixed_or_stable,16329.94,69640.704,85970.644,1,No action – monitor only
1532,999999,mixed_or_stable,19494.264,66088.96,85583.224,1,No action – monitor only
1519,999999,mixed_or_stable,15653.088,69593.76,85246.848,1,No action – monitor only
475,999999,mixed_or_stable,13703.175,71056.44,84759.615,1,No action – monitor only
1517,999999,mixed_or_stable,18269.664,66349.500,84619.164,1,No action – monitor only
54,999999,mixed_or_stable,12236.1939,72324.2256,84560.4195,1,No action – monitor only
556,999999,mixed_or_stable,19843.2,64208.825,84052.025,1,No action – monitor only
410,999999,mixed_or_stable,15278.49,68678.13,83956.62,1,No action – monitor only
2514,999999,mixed_or_stable,10724.430,72402.35016,83126.78016,1,No action – monitor only
1512,999999,mixed_or_stable,13123.254,69956.734,83079.988,1,No action – monitor only
346,999999,mixed_or_stable,20910.450,61797.725,82708.175,1,No action – monitor only
1524,999999,mixed_or_stable,20001.968,62326.44,82328.408,1,No action – monitor only
1518,999999,mixed_or_stable,16444.832,65871.0,82315.832,1,No action – monitor only
1471,999999,mixed_or_stable,19018.986,62608.142,81627.128,1,No action – monitor only
1492,999999,mixed_or_stable,16134.788,65263.730,81398.518,1,No action – monitor only
1424,999999,mixed_or_stable,18945.820,61800.8,80746.620,1,No action – monitor only
1486,999999,mixed_or_stable,11124.960,69352.704,80477.664,1,No action – monitor only
155,999999,mixed_or_stable,19137.426,61154.376280,80291.802280,1,No action – monitor only
1457,999999,mixed_or_stable,14079.420,65700.558,79779.978,1,No action – monitor only
1558,999999,mixed_or_stable,11331.00,68279.92,79610.92,1,No action – monitor only
1573,999999,mixed_or_stable,12289.890,67271.01620,79560.90620,1,No action – monitor only
1597,999999,mixed_or_stable,10341.870,69151.84060,79493.71060,1,No action – monitor only
365,999999,mixed_or_stable,15425.76,63787.51,79213.27,1,No action – monitor only
1543,999999,mixed_or_stable,10761.752,67530.372,78292.124,1,No action – monitor only
371,999999,mixed_or_stable,17629.44,60397.170,78026.610,1,No action – monitor only
1933,999999,mixed_or_stable,8481.76,68946.98454,77428.74454,1,No action – monitor only
1488,999999,mixed_or_stable,16555.200,60858.6,77413.800,1,No action – monitor only
1483,999999,mixed_or_stable,14027.58,63195.632,77223.212,1,No action – monitor only
1430,999999,mixed_or_stable,17462.5,59565.584,77028.084,1,No action – monitor only
56,999999,mixed_or_stable,10342.4622,66146.4096,76488.8718,1,No action – monitor only
368,999999,mixed_or_stable,21519.00,54713.88,76232.88,1,No action – monitor only
613,999999,mixed_or_stable,14464.80,61581.90,76046.70,1,No action – monitor only
393,999999,mixed_or_stable,18318.09,57575.88,75893.97,1,No action – monitor only
1549,999999,mixed_or_stable,14563.440,60862.162,75425.602,1,No action – monitor only
636,999999,mixed_or_stable,18376.0,56413.530,74789.530,1,No action – monitor only
1526,999999,mixed_or_stable,13243.45,58807.896,72051.346,1,No action – monitor only
1497,999999,mixed_or_stable,12302.556,59280.942,71583.498,1,No action – monitor only
1458,999999,mixed_or_stable,11330.704,60040.8,71371.504,1,No action – monitor only
1474,999999,mixed_or_stable,15705.73,55514.368,71220.098,1,No action – monitor only
1975,999999,mixed_or_stable,12510.596,58239.8180,70750.4140,1,No action – monitor only
372,999999,mixed_or_stable,17254.71,53241.92,70496.63,1,No action – monitor only
414,999999,mixed_or_stable,14466.07,55910.08,70376.15,1,No action – monitor only
318,999999,mixed_or_stable,10575.1305,59601.3390,70176.4695,1,No action – monitor only
554,999999,mixed_or_stable,17916.6,52037.91,69954.51,1,No action – monitor only
1559,999999,mixed_or_stable,14795.0,54736.136,69531.136,1,No action – monitor only
302,999999,mixed_or_stable,14629.7580,54858.0870,69487.8450,1,No action – monitor only
1484,999999,mixed_or_stable,13046.66,56385.472,69432.132,1,No action – monitor only
1423,999999,mixed_or_stable,14705.172,54699.624,69404.796,1,No action – monitor only
542,999999,mixed_or_stable,25726.4,43676.28,69402.68,1,No action – monitor only
566,999999,mixed_or_stable,18376.0,50799.15,69175.15,1,No action – monitor only
1571,999999,mixed_or_stable,12428.782,56595.05930,69023.84130,1,No action – monitor only
